Category: All categories

Month,people analytics: (United States),hr analytics: (United States),human capital analytics: (United States),workforce analytics: (United States),talent analytics: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,28,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,11,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,12,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,9,0,0,0,0
2009-02,15,0,0,14,0
2009-03,18,0,0,0,0
2009-04,13,0,0,0,0
2009-05,17,0,0,9,0
2009-06,12,0,0,0,0
2009-07,9,9,0,0,0
2009-08,10,0,0,0,0
2009-09,11,0,0,0,0
2009-10,13,0,0,0,0
2009-11,8,8,0,8,0
2009-12,10,0,0,0,0
2010-01,19,0,0,0,0
2010-02,13,11,0,0,0
2010-03,16,7,0,0,0
2010-04,13,0,0,0,0
2010-05,17,0,0,0,0
2010-06,14,0,0,0,0
2010-07,8,0,0,0,0
2010-08,14,0,0,0,0
2010-09,14,0,0,0,0
2010-10,9,0,0,0,0
2010-11,10,0,0,0,0
2010-12,18,0,0,0,0
2011-01,16,6,0,5,0
2011-02,16,9,0,0,0
2011-03,25,7,0,7,6
2011-04,25,8,0,5,5
2011-05,20,9,0,0,5
2011-06,26,7,0,7,0
2011-07,21,8,0,6,0
2011-08,14,7,0,6,0
2011-09,17,7,0,7,0
2011-10,21,6,0,0,5
2011-11,24,7,0,5,0
2011-12,20,5,0,5,0
2012-01,25,7,0,4,4
2012-02,20,8,0,6,0
2012-03,24,9,0,7,5
2012-04,25,11,0,5,0
2012-05,19,15,0,7,6
2012-06,19,10,0,8,0
2012-07,23,9,0,8,0
2012-08,20,8,0,7,8
2012-09,24,11,0,6,4
2012-10,24,9,0,4,5
2012-11,17,7,0,8,0
2012-12,22,4,0,4,0
2013-01,28,12,0,6,4
2013-02,24,14,0,8,5
2013-03,23,12,0,6,6
2013-04,26,15,3,9,8
2013-05,24,14,0,9,5
2013-06,24,15,0,8,5
2013-07,27,13,0,5,4
2013-08,27,14,0,7,4
2013-09,25,16,0,8,4
2013-10,28,15,3,7,5
2013-11,27,14,4,5,7
2013-12,26,9,0,6,4
2014-01,24,16,0,8,5
2014-02,27,15,0,10,6
2014-03,27,15,0,8,8
2014-04,32,15,0,8,5
2014-05,27,15,0,9,9
2014-06,23,17,0,11,10
2014-07,29,17,0,9,6
2014-08,26,14,4,7,6
2014-09,28,16,0,11,6
2014-10,29,17,0,6,6
2014-11,22,15,0,10,6
2014-12,29,14,0,5,5
2015-01,26,18,0,6,4
2015-02,32,21,0,9,4
2015-03,31,20,0,14,10
2015-04,29,19,0,11,7
2015-05,26,18,0,12,8
2015-06,31,21,0,9,4
2015-07,27,18,0,12,9
2015-08,36,21,0,9,8
2015-09,30,17,0,9,9
2015-10,31,20,3,12,10
2015-11,30,16,0,7,6
2015-12,31,16,0,8,4
2016-01,31,23,3,10,9
2016-02,38,21,0,12,7
2016-03,37,21,0,11,9
2016-04,36,20,3,11,8
2016-05,39,17,0,10,10
2016-06,31,22,0,9,8
2016-07,35,19,0,9,7
2016-08,32,23,0,7,5
2016-09,31,19,0,12,9
2016-10,37,27,4,10,8
2016-11,37,22,2,12,10
2016-12,31,18,0,8,5
2017-01,44,28,0,16,8
2017-02,51,28,0,13,10
2017-03,42,25,3,12,9
2017-04,41,30,0,12,8
2017-05,36,26,0,11,8
2017-06,36,31,2,15,8
2017-07,36,26,0,10,9
2017-08,37,24,4,10,9
2017-09,37,30,2,11,9
2017-10,39,32,3,15,10
2017-11,40,28,0,15,10
2017-12,32,21,0,10,8
2018-01,44,26,2,12,8
2018-02,44,28,3,12,9
2018-03,48,28,3,11,11
2018-04,48,27,3,11,7
2018-05,36,36,10,16,13
2018-06,40,23,0,10,10
2018-07,42,24,0,10,9
2018-08,40,27,0,13,8
2018-09,46,28,0,8,8
2018-10,47,25,2,8,8
2018-11,41,24,3,10,7
2018-12,35,23,0,6,5
2019-01,42,27,0,12,8
2019-02,48,31,0,11,6
2019-03,45,30,0,8,9
2019-04,51,33,3,10,9
2019-05,43,28,4,8,7
2019-06,47,27,0,10,5
2019-07,41,25,2,11,5
2019-08,47,29,0,9,5
2019-09,46,33,0,12,7
2019-10,50,30,2,11,8
2019-11,47,32,3,8,7
2019-12,34,26,2,9,5
2020-01,47,34,2,11,6
2020-02,52,34,0,10,7
2020-03,42,24,0,10,5
2020-04,49,25,0,11,5
2020-05,44,28,2,10,5
2020-06,46,25,0,11,7
2020-07,49,27,2,12,6
2020-08,49,29,2,11,4
2020-09,51,29,2,10,6
2020-10,43,31,0,12,5
2020-11,36,28,3,7,5
2020-12,37,27,0,9,4
2021-01,38,29,0,8,4
2021-02,45,31,0,7,6
2021-03,45,30,0,8,7
2021-04,53,29,0,11,5
2021-05,44,33,0,11,7
2021-06,36,27,0,10,5
2021-07,36,28,0,12,7
2021-08,40,29,0,11,5
2021-09,41,36,4,11,7
2021-10,46,36,0,12,9
2021-11,52,37,0,11,7
2021-12,40,29,0,14,5
2022-01,61,33,3,12,5
2022-02,76,33,0,12,6
2022-03,74,35,2,9,8
2022-04,68,35,3,9,6
2022-05,64,31,3,11,4
2022-06,63,32,0,12,6
2022-07,57,36,0,11,7
2022-08,60,39,0,12,8
2022-09,70,40,2,12,10
2022-10,68,32,3,10,9
2022-11,66,34,0,11,6
2022-12,51,28,2,12,5
2023-01,68,33,2,12,7
2023-02,76,32,2,11,8
2023-03,72,34,0,11,9
2023-04,60,34,2,11,7
2023-05,60,29,3,9,7
2023-06,55,30,0,9,7
2023-07,54,29,2,8,7
2023-08,63,33,2,7,6
2023-09,67,36,3,10,11
2023-10,76,39,3,10,8
2023-11,64,28,0,11,6
2023-12,48,23,0,10,5
2024-01,73,35,3,14,8
2024-02,85,42,3,11,6
2024-03,78,40,2,11,6
2024-04,80,35,4,13,9
2024-05,61,31,4,9,7
2024-06,57,34,2,10,7
2024-07,60,32,2,11,6
2024-08,57,32,2,12,6
2024-09,77,39,3,13,9
2024-10,84,36,4,11,10
2024-11,81,35,0,12,8
2024-12,64,31,2,10,6
2025-01,76,38,3,16,11
2025-02,100,50,0,23,12
2025-03,86,43,3,17,10
2025-04,83,45,3,13,11
2025-05,68,48,2,18,10
